Dataset,Indicators,Description,Description Simplified,Geographic Coverage,Format,Spatial Resolution,Spatial Resolution (Standard),Temporal Resolution,Temporal Extent,Latency,Source/Link,Project,Strengths,Limitations,Data Visualization,Intended Use,Tab Name Indicator,Indicators                     (Select from drop-down list),sde_link
"Global Reservoir and Dam Database, Version 1 (GRanDv1): Dams, Revision 01",Water Availability,"The Global Reservoir and Dam Database, Version 1, Revision 01 (v1.01) contains 6,862 records of reservoirs and their associated dams with a cumulative storage capacity of 6,197 cubic km. The dams were geospatially referenced and assigned to polygons depicting reservoir outlines at high spatial resolution. Dams have multiple attributes, such as name of the dam and impounded river, primary use, nearest city, height, area and volume of reservoir, and year of construction (or commissioning). While the main focus was to include all dams associated with reservoirs that have a storage capacity of more than 0.1 cubic kilometers, many smaller dams and reservoirs were added where data were available. The data were compiled by Lehner et al. (2011) and are distributed by the Global Water System Project (GWSP) and by the Columbia University Center for International Earth Science Information Network (CIESIN). For details please refer to the Technical Documentation which is provided with the data.","The Global Reservoir and Dam Database, Version 1, Revision 01 (v1.01) dataset contains 6,862 records of reservoirs and their associated dams with a cumulative storage capacity of 6,197 cubic km. Information available for each dam include the name of the dam and impounded river, primary use, nearest city, height, area and volume of reservoir, and year of construction (or commissioning). These data may aid in water availability research.",Global,"Shapefile, PDF, PNG, WMS",,,,2011-01-01 to 2011-12-31,,https://doi.org/10.7927/H4N877QK,GRAND - Global Reservoir and Dam Database,Shapefile format for use in GIS,Lacks recent data,,Path B,Water Availability,Water Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2210186323-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Reservoir and Dam Database, Version 1 (GRanDv1): Reservoirs, Revision 01",Water Availability,"Global Reservoir and Dam Database, Version 1, Revision 01 (v1.01) contains 6,862 records of reservoirs and their associated dams with a cumulative storage capacity of 6,197 cubic km. The reservoirs were delineated from high spatial resolution satellite imagery and are available as polygon shape files. The only attribute for the reservoirs is the area of the reservoir. The associated dams data set includes multiple attributes such as name of the dam and the impounded river, primary use, nearest city, area, and year of construction (or commissioning). While the main focus was to include all reservoirs with a storage capacity of more than 0.1 cubic kilometers, many smaller reservoirs were added where data were available. The data were compiled by Lehner et al. (2011) and are distributed by the Global Water System Project (GWSP) and by the Columbia University Center for International Earth Science Information Network (CIESIN). For details please refer to the Technical Documentation which is provided with the data.","The Global Reservoir and Dam Database, Version 1, Revision 01 (v1.01) dataset contains 6,862 records of reservoirs and their associated dams with a cumulative storage capacity of 6,197 cubic km. This dataset provides the area of each reservoir. These data may aid in water availability research.",Global,"Shapefile, PDF, PNG, WMS",,,,2011-01-01 to 2011-12-31,,https://doi.org/10.7927/H4HH6H08,GRAND - Global Reservoir and Dam Database,Global coverage and shapefile format for GIS,Lacks recent data,SEDAC Map widget,Path B,Water Availability,Water Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2210194026-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Roads Open Access Data Set (gROADS), v1 (1980 – 2010)",Human Dimensions,"The Global Roads Open Access Data Set, Version 1 (gROADSv1) was developed under the auspices of the CODATA Global Roads Data Development Task Group. The data set combines the best available roads data by country into a global roads coverage, using the UN Spatial Data Infrastructure Transport (UNSDI-T) version 2 as a common data model. All country road networks have been joined topologically at the borders, and many countries have been edited for internal topology. Source data for each country are provided in the documentation, and users are encouraged to refer to the readme file for use constraints that apply to a small number of countries. Because the data are compiled from multiple sources, the date range for road network representations ranges from the 1980s to 2010 depending on the country (most countries have no confirmed date), and spatial accuracy varies. The baseline global data set was compiled by the Information Technology Outreach Services (ITOS) of the University of Georgia. Updated data for 27 countries and 6 smaller geographic entities were assembled by Columbia University's Center for International Earth Science Information Network (CIESIN), with a focus largely on developing countries with the poorest data coverage.","The Global Roads Open Access Data Set (gROADS), v1 (1980 – 2010) dataset provides global roads coverage using UN data.",Global,"Shapefile, Geodatabase, PDF, PNG",,,,1980-01-01 to 2010-12-31,,https://doi.org/10.7927/H4VD6WCT,GROADS - Global Roads Open Access Data Set,Global coverage and shapefile format for GIS,Lacks recent data,,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1000000202-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Rural-Urban Mapping Project (GRUMP) Urban Extent Polygons, v1","Food Availability,Human Dimensions","The Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extent Polygons, Revision 02 is an update to Revision 01, which included new settlements and represented the first time that SEDAC released polygons (in Esri shapefile format) with the settlement name (or name of the largest city in the case of multi-city agglomerations). The shapefile consists of polygons defined by the extent of the nighttime lights and approximated urban extents (circles) based on buffered settlement points. Revision 01 also included new urban extents identified from multiple sources and corrected georeferencing for some settlements (see separate documentation for Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Settlement Points, Revision 01 for the data and methods). Revision 01 was produced by the Columbia University Center for International Earth Science Information Network (CIESIN) in collaboration with CUNY Institute for Demographic Research (CIDR). Revision 02 was produced by CIESIN.",The Global Rural-Urban Mapping Project (GRUMP) Urban Extent Polygons dataset maps urban settlements in a polygon or shapefile format defined by the extent of nighttime lights and approximated urban areas. These data are useful in studying urbanization and human migration.,Global,"Shapefile, CSV",1 kilometer,1 kilometer,,1995-07-01,,https://doi.org/10.7927/np6p-qe61,GRUMP - Global Rural-Urban Mapping Project,Population and urban extent in shapefile form,"Temporal extent only 1995, Lacks recent data",SEDAC Map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2210244511-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Subnational Infant Mortality Rates, v1 (2000)",Human Dimensions,"The Poverty Mapping Project: Global Subnational Infant Mortality Rates data set consists of estimates of infant mortality rates for the year 2000. The infant mortality rate for a region or country is defined as the number of children who die before their first birthday for every 1,000 live births. The data products include a shapefile (vector data) of rates, grids (raster data) of rates (per 10,000 live births in order to preserve precision in integer format), births (the rate denominator) and deaths (the rate numerator), and a tabular data set of the same and associated data. Over 10,000 national and subnational units are represented in the tabular and grid data sets, while the shapefile uses approximately 1,000 units in order to protect the intellectual property of source data sets for Brazil, China, and Mexico. This data set is produced by the Columbia University Center for International Earth Science Information Network (CIESIN).","The Poverty Mapping Project: Global Subnational Infant Mortality Rates dataset consists of estimates of infant mortality rates for the year 2000. The infant mortality rate for a region or country is defined as the number of children who die before their first birthday for every 1,000 live births. These data may aid in poverty and human dimensions EJ research.",Global,"ASCII Grid, Excel, Shapefile, PDF, PNG, WMS",,,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H4PZ56R2,PMP - Poverty Mapping Project,"Shapefile, grid, and CSV available",Lacks recent data,https://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates-v2-01/maps,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001943-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Subnational Infant Mortality Rates, v2.01 (2015)","Food Availability,Human Dimensions","The Global Subnational Infant Mortality Rates, Version 2.01 consist of Infant Mortality Rate (IMR) estimates for 234 countries and territories, 143 of which include subnational units. The data are benchmarked to the year 2015 (Version 1 was benchmarked to the year 2000), and are drawn from national offices, Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), and other sources from 2006 to 2014. In addition to Infant Mortality Rates, Version 2.01 includes crude estimates of births and infant deaths, which could be aggregated or disaggregated to different geographies to calculate infant mortality rates at different scales or resolutions, where births are the rate denominator and infant deaths are the rate numerator. Boundary inputs are derived primarily from the Gridded Population of the World, Version 4 (GPWv4) data collection. National and subnational data are mapped to grid cells at a spatial resolution of 30 arc-seconds (~1 km) (Version 1 has a spatial resolution of 1/4 degree, ~28 km at the equator), allowing for easy integration with demographic, environmental, and other spatial data.","The Global Subnational Infant Mortality Rates dataset provides a global subnational map of infant mortality rate estimates for the year 2015. These data may aid interdisciplinary studies of health, poverty, and the environment.",Global,"GeoTIFF, Geodatabase, Excel, PDF, PNG",0.00833 degrees,1 kilometer,,2015-01-01 to 2015-12-31,,https://doi.org/10.7927/0gdn-6y33,PMP - Poverty Mapping Project,"Three data formats available: GeoTIFF, GDB, and excel",Only for 2015,SEDAC Map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2013463595-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Subnational Prevalence of Child Malnutrition, v1 (1990 – 2002)","Climate Change,Human Dimensions","The Poverty Mapping Project: Global Subnational Prevalence of Child Malnutrition data set consists of estimates of the percentage of children with weight-for-age z-scores that are more than two standard deviations below the median of the NCHS/CDC/WHO International Reference Population. Data are reported for the most recent year with subnational information available at the time of development. The data products include a shapefile (vector data) of percentage rates, grids (raster data) of rates (per thousand in order to preserve precision in integer format), the number of children under five (the rate denominator), and the number of underweight children under five (the rate numerator), and a tabular data set of the same and associated data. This data set is produced by the Columbia University Center for International Earth Science Information Network (CIESIN).",The Poverty Mapping Project: Global Subnational Prevalence of Child Malnutrition dataset provides data related to the malnutrition of children globally. Data are reported for the most recent year. These data may aid poverty and food access research.,Global,"ASCII Grid, Excel, Shapefile, PDF, PNG, WMS",,,,1990-01-01 to 2002-12-31,,https://doi.org/10.7927/H4K64G12,PMP - Poverty Mapping Project,12-year temporal extent,Lacks recent data,https://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/maps,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001944-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Sulfur Dioxide Monitoring Home Page,Health & Air Quality,"The global sulfur dioxide monitoring site dataset  provides imagery of daily SO2 from OMI, OMPS, and TROPOMI. The site also provides information on the source of emissions. These data may aid air quality research.","The global sulfur dioxide monitoring site dataset  provides imagery of daily SO2 from OMI, OMPS, and TROPOMI. The site also provides information on the source of emissions. These data may aid air quality research.",Global,,Varies,Varies,Varies,Varies,,https://so2.gsfc.nasa.gov/,,Multiple datasets available within link,,"images, graphs",Path B,Health & Air Quality,Health & Air Quality,
"Global Urban Heat Island (UHI) Data Set, v1 (2013)","Climate Change,Extreme Heat","The Urban Heat Island (UHI) effect represents the relatively higher temperatures found in urban areas compared to surrounding rural areas owing to higher proportions of impervious surfaces and the release of waste heat from vehicles and heating and cooling systems. Paved surfaces and built structures tend to absorb shortwave radiation from the sun and release long-wave radiation after a lag of a few hours. The Global Urban Heat Island (UHI) Data Set, 2013, estimates the land surface temperature within urban areas in degrees Celsius (average summer daytime maximum and average summer nighttime minimum) as well as the difference between those temperatures and the temperatures in surrounding rural areas, defined as a 10km buffer around the urban extent. Urban extents are from SEDAC?s Global Rural-Urban Mapping Project, Version 1 (GRUMPv1), and land surface temperatures are from SEDAC?s Global Summer Land Surface Temperature (LST) Grids, 2013, which are derived from the Aqua Level-3 Moderate Resolution Imaging Spectroradiometer (MODIS) Version 5 global daytime and nighttime Land Surface Temperature (LST) 8-day composite data (MYD11A2). For most regions, the UHI data set provides the average daytime maximum (1:30 p.m. overpass) and average nighttime minimum (1:30 a.m. overpass) temperatures in urban and rural areas, and the urban-rural temperature differences, derived from LST data representing a 40-day time-span during July-August (Julian days 185-224) in the northern hemisphere and January-February (Julian days 001-040) in the southern hemisphere. LST grid cells with missing values resulting from high cloud cover in tropical regions were filled with daytime maximum and nighttime minimum LST values from April-May 2013 in the northern hemisphere and December 2013-January 2014 in the southern hemisphere, where available. Some data gaps remain in areas where data were insufficient (e.g., Central Africa).","SEDAC's Global Urban Heat Island (UHI) Data Set, v1 (2013) dataset provides a global dataset of average summer daytime maximum land surface temperatures and minimum nighttime land surface temperatures. These data may aid in urban heat research.",Global,"Shapefile, Excel, PDF, PNG, WMS",,,,2013-01-01 to 2013-12-31,,https://doi.org/10.7927/H4H70CRF,SDEI - Satellite-Derived Environmental Indicators,Shapefile format for use in GIS,Lacks recent data,https://sedac.ciesin.columbia.edu/data/set/sdei-global-uhi-2013/maps,Path A,Climate Change,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1399941740-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Gridded Population of the World (GPW), v4","Climate Change,Food Availability,Human Dimensions","The Gridded Population of the World, Version 4 (GPWv4): Basic Demographic Characteristics, Revision 11 consists of estimates of human population by age and sex as counts (number of persons per pixel) and densities (number of persons per square kilometer), consistent with national censuses and population registers, for the year 2010.","The Gridded Population of the World dataset includes basic demographic information such as age, sex, and population density for the year 2010.",Global,"ASCII, GeoTIFF, netCDF-4, PDF, PNG, WMS",0.00833 degrees,1 kilometer,,2010-07-01,,https://doi.org/10.7927/H46M34XX,GPW - Gridded Population of the World,Several data formats available,Single time slice (year) available,SEDAC map widget,Path A,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1597149465-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Gridded Subset of Sub-national Poverty and Extreme Poverty Prevalence, v1 (2005)","Climate Change,Human Dimensions","The West Africa Coastal Vulnerability Mapping: Gridded Subset of Sub-national Poverty and Extreme Poverty Prevalence represents the HarvestChoice Subnational Poverty and Extreme Poverty Prevalence data set as a one kilometer raster, and includes values within 200 kilometers of the coast. Poverty levels affect the ""defenselessness"" of populations in the low elevation coastal zone. These data were developed by the Harvest Choice project funded by the Bill and Melinda Gates Foundation. Harvest Choice measured 2005 poverty levels using 2005 purchasing power parity data for two thresholds: $1.25/day and $2/day international poverty lines. The $2/day threshold was selected for this mapping exercise.","The Gridded Subset of Sub-national Poverty and Extreme Poverty Prevalence, v1 (2005) dataset shows poverty levels based on Harvest Choice Project using purchasing power data with two thresholds: $1.25/day and $2/day international poverty lines.",Western Africa,GeoTIFF,,,,2005-01-01 to 2005-12-31,,https://doi.org/10.7927/H44T6G9K,WACVM - West Africa Coastal Vulnerability Mapping,,"Lacks recent data, Limited to West Africa",,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1577530433-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
HLS (Harmonized Landsat and Sentinel) Sentinel-2 Multi-spectral Instrument Surface Reflectance Daily Global 30m v2.0,"Climate Change,Extreme Heat","The Harmonized Landsat and Sentinel-2 (HLS) project provides consistent surface reflectance data from the Operational Land Imager (OLI) aboard the joint NASA/USGS Landsat 8 satellite and the Multi-Spectral Instrument (MSI) aboard Europe’s Copernicus Sentinel-2A and Sentinel-2B satellites. The combined measurement enables global observations of the land every 2–3 days at 30-meter (m) spatial resolution. The HLS project uses a set of algorithms to obtain seamless products from OLI and MSI that include atmospheric correction, cloud and cloud-shadow masking, spatial co-registration and common gridding, illumination and view angle normalization, and spectral bandpass adjustment.",The Harmonized Landsat and Sentinel-2 (HLS) project provides surface reflectance data from the joint NASA/USGS Landsat 8 Satellite. Surface reflectance data may be useful in identifying vegetation coverage in the context of urban heat. The dataset includes global observations every 2-3 days at 30-meter spatial resolution. Data avaliable from 11/28/2015 to now.,Global,COG,30m x 30m,30 meters,,2015-11-28 to Present,,https://dx.doi.org/10.5067/HLS/HLSS30.002,,Recent data available,Latency unclear,,Path C,Climate Change,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2021957295-LPCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"IPCC (Intergovernmental Panel on Climate Change) INFORM Global Risk Index 2019 Mid Year, v0.3.7, (2019)","Climate Change,Human Dimensions","The INFORM Global Risk Index 2019 Mid Year, v0.3.7 data set identifies the countries at a high risk of humanitarian crisis that are more likely to require international assistance. The INFORM Global Risk Index (GRI) model is based on risk concepts published in the scientific literature and envisages three dimensions of risk: Hazard & Exposure, Vulnerability, and Lack of Coping Capacity. The INFORM GRI model is split into different levels to provide a quick overview of the underlying factors leading to humanitarian risk. The INFORM GRI model supports a proactive crisis management framework, and will be helpful for an objective allocation of resources for disaster management, as well as for coordinated actions focused on anticipating, mitigating, and preparing for humanitarian emergencies. Only the two main sections, Vulnerability and Lack of Coping Capacity, not the Hazard & Exposure section, were used in the IPCC AR6.",The IPCC (Intergovernmental Panel on Climate Change) INFORM Global Risk Index allows the user to assess country-level vulnerability and coping capacity related to climate change. This idex is based on Chapter 8 of the Sixth Assessment Report (AR6) by the IPCC. This dataset identifies the country high at risk of humanitarian crisis that are more likely to need assistance.,Global,Excel,,,,2019-01-01 to 2019-12-31,,https://doi.org/10.7927/yzp7-sm30,IPCC - Intergovernmental Panel on Climate Change,Visualization available through SEDAC map widget,Only available in excel format for 2019,SEDAC Map widget,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2225516175-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
IPCC (Intergovernmental Panel on Climate Change) Socio-Economic Baseline Dataset,"Climate Change,Human Dimensions","The Intergovernmental Panel on Climate Change (IPCC) Socio-Economic Baseline Dataset consists of population, human development, economic, water resources, land cover, land use, agriculture, food, energy and biodiversity data . This dataset was collated by IPCC from a variety of sources such as The World Bank, United Nations Environment Programme (UNEP), and Food and Agriculture Organization of the United Nations (FAO), and is distributed by the Columbia University Center for International Earth Science Information Network (CIESIN).","The Intergovernmental Panel on Climate Change (IPCC) Socio-Economic Baseline Dataset combines several factors including population, human development, economic, water resources, land cover, land use, agriculture, food, energy, and biodiversity data. This dataset may aid environmental hazard research.",Global,Excel,,,,"1990-01-01, 1991-01-01, 1980-01-01, 1992-01-01, 1993-01-01, 1994-01-01, 1995-01-01, 2025-01-01",,https://doi.org/10.7927/H4WM1BB7,IPCC - Intergovernmental Panel on Climate Change,Many socioeconomic factors included,Limited temporal extent,,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001801-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Integrated Multi-Mission Ocean Altimeter Data for Climate Research Version 5.1,Climate Change,"This dataset contains along track Sea Surface Height Anomalies (SSHA) for individual 10-day cycles from the TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 missions geo-referenced to a mean reference orbit. Altimeter data from the multi-mission Geophysical Data Records (GDRs) have been interpolated to a common reference orbit with biases and cross-calibrations applied so that the derived SSHA are consistent between satellites to form a single homogeneous climate data record. Version 5.0 updates include improved Precise Orbit Determination (POD) with GSFC std2006 standards, and the application of internal tides.",The Integrated Multi-Mission Ocean Altimeter Data for Climate Research dataset contains SSHA adjusted for satellite differences and tides.,Global,netCDF-4,,,Weekly - < Monthly,1992-09-25 to Present,4 months,https://dx.doi.org/10.5067/ALTCY-TJA51,MEaSUREs - Making Earth System Data Records for Use in Research Environments,30-year temporal extent,Low latency,,Path C,Climate Change,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2204129664-POCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Integrated Multi-Mission Ocean Altimeter Data for Climate Research complete time series Version 5.1,Climate Change,"This dataset contains along track Sea Surface Height Anomalies (SSHA) from the TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 missions geo-referenced to a mean reference orbit. Altimeter data from the multi-mission Geophysical Data Records (GDRs) have been interpolated to a common reference orbit with biases and cross-calibrations applied so that the derived SSHA are consistent between satellites to form a single homogeneous climate data record. Version 5.0 updates include improved Precise Orbit Determination (POD) with GSFC std2006 standards, and the application of internal tides.","This dataset contains along track Sea Surface Height Anomalies (SSHA) from the TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 missions geo-referenced to a mean reference orbit.",Global,netCDF-4,,,Weekly - < Monthly,1992-09-25 to Present,4 months,https://dx.doi.org/10.5067/ALTTS-TJA51,MEaSUREs - Making Earth System Data Records for Use in Research Environments,30-year temporal extent,Low latency,,Path C,Climate Change,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2204125877-POCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3","Disasters,Urban Flooding","The Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3 data set contains land areas with urban, quasi-urban, rural, and total populations (counts) within the LECZ for 234 countries and other recognized territories for the years 1990, 2000, and 2015. This data set updates initial estimates for the LECZ population by drawing on a newer collection of input data, and provides a range of estimates for at-risk population and land area. Constructing accurate estimates requires high-quality and methodologically consistent input data, and the LECZv3 evaluates multiple data sources for population totals, digital elevation model, and spatially-delimited urban classifications. Users can find the paper ""Estimating Population and Urban Areas at Risk of Coastal Hazards, 1990-2015: How data choices matter"" (MacManus, et al. 2021) in order to evaluate selected inputs for modeling Low Elevation Coastal Zones. According to the paper, the following are considered core data sets for the purposes of LECZv3 estimates: Multi-Error-Removed Improved-Terrain Digital Elevation Model (MERIT-DEM), Global Human Settlement (GHSL) Population Grid R2019 and Degree of Urbanization Settlement Model Grid R2019a v2, and the Gridded Population of the World, Version 4 (GPWv4), Revision 11. This data set is produced by the Columbia University Center for International Earth Science Information Network (CIESIN) and the City University of New York (CUNY) Institute for Demographic Research (CIDR).","The Urban-Rural Population and Land Area Estimates dataset provides estimates of urban and rural populations and land areas for the years 1990, 2000 and 2015 for 234 countries and other areas with coastal elevations of no more than 5m above sea level. These data may be useful in tracking urban areas at risk of coastal hazards.",Global,"GeoTIFF, XLSM",0.00833 degrees,1 kilometer,,"1990-01-01, 2000-01-01, 2015-01-01",,https://doi.org/10.7927/d1x1-d702,LECZ - Low Elevation Coastal Zone,Includes data for 234 countries,Lacks recent data,https://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v3/maps,Path B,Disasters,Urban Flooding,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2187533258-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
MLS/Aura Near-Real-Time L2 Carbon Monoxide (CO) Mixing Ratio V005,Health & Air Quality,"The Microwave Limb Sounder (MLS) Carbon Monoxide (CO) Mixing Ratio layer at 215 hPa (hectopascals) indicates carbon monoxide levels at the vertical atmospheric pressure level of 215hPa, and is measured in parts per billion by volume (ppbv).",The MLS (Aura) dataset indicates carbon monoxide levels. These data may aid in air quality research.,Global,HDF-EOS5,,,Daily - < Weekly,2021-09-21 ongoing,NRT,https://disc.gsfc.nasa.gov/datacollection/ML2CO_NRT_005.html,"LANCE - Land, Atmosphere Near real-time Capability for EOS, Aura - Earth Observing System (EOS), Aura","NRT, Daily temporal resolution",Only HDF-EOS5 available,Worldview,Path B,Health & Air Quality,Health & Air Quality,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2131771725-GES_DISC&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22MLS%2FAura%20Near-Real-Time%20L2%20Carbon%20Monoxide%20(CO)%20Mixing%20Ratio%20V005%22%7D"
MLS/Aura Near-Real-Time L2 Nitric Acid (HNO3) Mixing Ratio V005,Health & Air Quality,"The MLS Nitric Acid (HNO3) Mixing Ratio at 46hPa layer indicates nitric acid levels at the vertical atmospheric pressure level of 46hPa, and is measured in parts per billion by volume (ppbv). It is derived from the MLS Nitric Acid (ML2HNO3_NRT) MLS/Aura NRT L2 HNO3 Mixing Ratio","The MLS (Aura) Nitric Acid (46 hPa, Day/Night) dataset indicates nitric acid levels in the atmosphere. These data may aid in air quality research.",Global,HDF-EOS5,,,1 minute - < 1 hour,2021-09-21 ongoing,NRT,https://disc.gsfc.nasa.gov/datacollection/ML2HNO3_NRT_005.html,"LANCE - Land, Atmosphere Near real-time Capability for EOS, Aura - Earth Observing System (EOS), Aura",15-min temporal resolution,Only HDF-EOS5 available,Worldview,Path B,Health & Air Quality,Health & Air Quality,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2131771772-GES_DISC&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22MLS%2FAura%20Near-Real-Time%20L2%20Nitric%20Acid%20(HNO3)%20Mixing%20Ratio%20V005%22%7D"
MLS/Aura Near-Real-Time L2 Ozone (O3) Mixing Ratio V005,"Climate Change,Health & Air Quality","The MLS Ozone (O3) Mixing Ratio 46hPa (hectopascals) layer is derived from the MLS Ozone product (ML2O3_NRT) available from the Microwave Limb Sounder (MLS) instrument on the Aura satellite. The product indicates ozone levels at the vertical atmospheric pressure level of 46hPa, and is measured in parts per billion by volume (ppbv). The sensor resolution is 5 km, imagery resolution is 2 km, and the temporal resolution is twice daily (day and night).",The MLS (Aura) Ozone dataset indicates ozone levels in the atmosphere. These data may aid in air quality research.,Global,HDF-EOS5,,,1 minute - < 1 hour,2021-09-21 ongoing,NRT,https://disc.gsfc.nasa.gov/datacollection/ML2O3_NRT_005.html,"LANCE - Land, Atmosphere Near real-time Capability for EOS, Aura - Earth Observing System (EOS), Aura",15-min temporal resolution,Only HDF-EOS5 available,Worldview,Path B,Climate Change,Health & Air Quality,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2131771812-GES_DISC&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22MLS%2FAura%20Near-Real-Time%20L2%20Ozone%20(O3)%20Mixing%20Ratio%20V005%22%7D"
